96,celestial,/s??'l??st????l/;/s??'lZst??l/ a. Syn. heavenly,s??'l??st????l, a, Syn, heavenly,relating to the sky or the heavens; supremely good; god or angel
97,chauvinist,/'??o??v??n??st/ n.??,'??o??v??n??st, n,??,,person with prejudiced belief in superiority of own kind
98,chicanery,/????'ke??n??r??/ n. Syn. trickery; deception,????'ke??n??r??, n, Syn, trickery; deception,mean or unfair artifice to obscure truth; deception by trickery or sophistry
99,chronic,/'kr??n??k/ a.??,'kr??n??k, a,??,,"lasting for long period; marked by frequent recurrence, as certain diseases"
100,circumspect,/'s??rk??msp??kt/ a. Syn. prudent; cautious,'s??rk??msp??kt, a, Syn, prudent; cautious,carefully aware of all circumstances; cautious
101,circumvent,/s??rk??m'v??nt/ v. Syn. outwit,s??rk??m'v??nt, v, Syn, outwit,surround; enclose or entrapoutwit; beat through cleverness and wit
102,civil,/'s??v(??)l/ a. Syn. civic,'s??v(??)l, a, Syn, civic,having to do with citizens or the state; courteous and polite
103,clamorous,/'kl??m??r??s/ a.??,'kl??m??r??s, a,??,,speaking and repeating loud words; full of clamor; calling or demanding loudly or urgently; vociferous; noisy; bawling; loud
104,clandestine,/kl??n'd??st??n/ a. Syn. secret,kl??n'd??st??n, a, Syn, secret,secret; conducted with or marked by hidden aims or methods
105,coalesce,/ko????'l??s/ v. Syn. combine; fuse; mix,ko????'l??s, v, Syn, combine; fuse; mix,combine; fuse; grow together; come together so as to form one whole; unite
106,coalition,/ko????'l????(??)n/ n. Syn. partnership; league; union,ko????'l????(??)n, n, Syn, partnership; league; union,partnership; league; state of being combined into one body
107,coercion,/ko??'??rf??n/ n.??,ko??'??rf??n, n,??,,use of force to get someone to obey
108,cogent,/'ko??d????nt/ a. Syn. convincing,'ko??d????nt, a, Syn, convincing,reasonable and convincing; based on evidence; forcefully persuasive
109,collusion,/k??'lu:??(??)n/ n.??,k??'lu:??(??)n, n,??,,secret agreement for an illegal purpose; conspiracy
110,commodious,/k??'mo??d????s/ a.??,k??'mo??d????s, a,??,,spacious and comfortable; fit; proper; convenient
111,compatible,/k??m'p??t??b(??)l/ a. Syn. harmonious,k??m'p??t??b(??)l, a, Syn, harmonious,harmonious; having similar disposition and tastes
112,compensation,/k??mp??n'se????(??)n/ n.??,k??mp??n'se????(??)n, n,??,,something given or received as payment as for a service or loss or injury
113,compunction,/k??m'p????k??(??)n/ n.??,k??m'p????k??(??)n, n,??,,feeling of deep regret; strong uneasiness caused by a sense of guilt
114,concede,/k??n'si:d/ v. Syn. admit; yield,k??n'si:d, v, Syn, admit; yield,admit; yield; give up physical control of another
115,condole,/k??n'do??l/ v. Syn. grieve,k??n'do??l, v, Syn, grieve,"grieve; express sympathy; speak sympathetically to one in pain, grief, or misfortune"
116,condolence,/k??n'do??l??ns/ n.??,k??n'do??l??ns, n,??,,expression of sympathy with another in sorrow or grief.
117,confederate,/k??n'f??d??r??t/ n. Syn. ally; collaborator,k??n'f??d??r??t, n, Syn, ally; collaborator,ally; form a group or unite??
118,congenial,/k??n'd??i:n????l/ a. Syn. compatible,k??n'd??i:n????l, a, Syn, compatible,compatible
119,conjecture,/k??n'd????kt????(r)/ v.??,k??n'd????kt????(r), v,??,,believe especially on uncertain or tentative grounds
120,consensus,/k??n's??ns??s/ n. Syn. Agreement; accord,k??n's??ns??s, n, Syn, Agreement; accord,general agreement or accord; opinion reached by a group as a whole
121,consternation,/k??nst??'ne????(??)n/ n. Syn. dismay; shock; fear,k??nst??'ne????(??)n, n, Syn, dismay; shock; fear,intense state of fear or dismay; astonishment combined with terror
122,construction,/k??n'str??k??(??)n/ n.??,k??n'str??k??(??)n, n,??,,act of constructing or building something??
123,consummate,/'k??ns??me??t/ a.??,'k??ns??me??t, a,??,,carried to the utmost extent or degree; of the highest quality; complete; perfect
124,contemptuous,/k??n't??mptj????s/ a. Syn. scornful,k??n't??mptj????s, a, Syn, scornful,scornful; expressing contempt; showing a lack of respect
125,convivial,/k??n'v??v????l/ a. Syn. festive,k??n'v??v????l, a, Syn, festive,festive; occupied with or fond of the pleasures of good company
126,copious,/'ko??p????s/ a. Syn. plentiful,'ko??p????s, a, Syn, plentiful,plentiful; containing plenty; affording ample supply
127,corpulent,/'k??:pj??l??nt/ a. Syn. fat,'k??:pj??l??nt, a, Syn, fat,very fat; large in body; overweight
128,cosmopolitan,/k??zm??'p??l??t(??)n/ a. Syn. sophisticated,k??zm??'p??l??t(??)n, a, Syn, sophisticated,sophisticated; of worldwide scope
129,coterie,/'ko??t??r??/ n.??,'ko??t??r??, n,??,,group that meets socially; an exclusive circle of people with common purpose
130,countenance,/'ka??nt??n??ns/ v. Syn. approve; tolerate,'ka??nt??n??ns, v, Syn, approve; tolerate,give sanction or support to; tolerate or approve
131,credence,/'kri:d??ns/ n. Syn. credit; faith,'kri:d??ns, n, Syn, credit; faith,credit; faith
132,credible,/'kr??d??b(??)l/ a.??,'kr??d??b(??)l, a,??,,capable of being credited or believed; worthy of belief; entitled to confidence; trustworthy
133,credulous,/'kr??dj??l??s/;/'kr??d????l??s/ a.??,kr??dj??l??s; 'kr??d????l??s,a,,,apt to believe on slight evidence; easily imposed upon; unsuspecting; believed too readily
134,cringe,/kr??nd??/ v.??,kr??nd??, v,??,,"shrink or recoil, as in fear, disgust or embarrassment; bend or crouch with base humility"
135,crucial,/'kru:??(??)l/ a.??,'kru:??(??)l, a,??,,of extreme importance; vital to the resolution of a crisis; of the greatest importance
136,cryptic,/'kr??pt??k/ a.??,'kr??pt??k, a,??,,having hidden meaning; mystifying; using code or cipher
137,curb,/k??rb/ v.??,k??rb, v,??,,"bend or curve; guide and manage, or restrain"
138,cursory,/'k??rs??r??/ a. Syn. casual,'k??rs??r??, a, Syn, casual,"casual; brief or broad; not cautious, nor detailed"
139,curt,/k??rt/ a.??,k??rt, a,??,,"having been shortened; effectively cut short; rudely brief or abrupt, as in speech or manner"
140,cynical,/'s??n??k(??)l/ a.??,'s??n??k(??)l, a,??,,skeptical of motives of others; selfishly calculating; negative or pessimistic
